teff,logg,feh,reference
4281,1.74,-0.49,2015AJ....150...88L
4215,1.53,-0.60,2013ApJ...764...78R
4336,1.94,nan,2003AJ....126.2048G
4250,1.40,-0.63,2012ApJ...761..161S
4250,1.40,-0.57,2012ApJ...761..161S
4158,1.89,nan,2004A&A...420..183A
4280,1.70,-0.53,2011A&A...531A.165P
4325,2.10,-0.6 ,2008AJ....135..209M
4325,2.10,-0.60,2008AJ....135..209M
4436,1.84,-0.54,2007AJ....133.2464L
4300,1.50,-0.63,2009A&A...508.1313F
4300,1.50,-0.49,2000ApJ...530..307C
4300,1.50,-0.63,1999ApJ...523..234T
4250,1.30,-0.68,1998AJ....116..765G
4300,1.50,-0.51,1997A&A...324..435H
4300,1.50,-0.47,1994AJ....107.1773S
4280,1.30,-0.54,1994ApJS...91..749M
4330,2.10,-0.58,1992AJ....104.1818B
4280,2.19,-0.60,1990ApJS...74.1075M
4300,2.00,-0.69,1990AJ.....99.1961F
4383,1.97,-0.42,1988A&A...190..148E
4235,1.70,-0.60,1987AJ.....93..338L
4383,1.70,-0.55,1986A&AS...65...11K
4345,1.50,-0.38,1986A&A...169..201G
4345,1.60,-0.81,1985MNRAS.212..497B
4421,0.98,-0.48,1982MNRAS.201..807G
4500,2.01,-0.56,1981ApJ...248..228L
nan,nan,-0.56,2008A&A...480...91S
4361,1.93,-0.53,2007MNRAS.374..664C
4316,1.71,-0.55,2008A&A...480...91S
4300,1.50,-0.47,1994AJ....107.1773S
4280,1.30,-0.54,1994ApJS...91..749M
4330,2.10,-0.58,1992AJ....104.1818B
4280,2.19,-0.60,1990ApJS...74.1075M
4300,2.00,-0.69,1990AJ.....99.1961F
4383,1.97,-0.42,1988A&A...190..148E
4235,1.70,-0.60,1987AJ.....93..338L
4383,1.70,-0.55,1986A&AS...65...11K
4345,1.50,-0.38,1986A&A...169..201G
4345,1.60,-0.81,1985MNRAS.212..497B
4421,0.98,-0.48,1982MNRAS.201..807G
4500,2.01,-0.56,1981ApJ...248..228L
4235,1.70,-0.49,1978ApJ...225..902B
4200,2.00,-0.32,1977A&A....61...17O
4308,1.74,-0.52,1977A&A....61..591M
4383,1.48,-0.53,1977MNRAS.180...19P
4271,0.90,-0.70,1975A&A....38..239M
4271,1.73,-0.43,1970A&A.....7..408C
3818,nan,-0.40,1967MNRAS.137..253G
nan,nan,-0.30,1957ApJ...125..123S
nan,nan,-0.30,1953MSRSL..14..419G
